,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
0,2020-09-13 11:36,Burna Boy,Level Up (Twice As Tall) [feat. Youssou N'Dour],80822,Burna Boy:Level Up (Twice As Tall) [feat. Youssou N'Dour],0,,
1,2020-09-30 11:07,Burna Boy,Level Up (Twice As Tall) [feat. Youssou N'Dour],2990,Burna Boy:Level Up (Twice As Tall) [feat. Youssou N'Dour],0,,
2,2020-09-30 11:10,Burna Boy,Alarm Clock,132626,Burna Boy:Alarm Clock,0,,
3,2020-09-30 11:13,Burna Boy,Way Too Big,182743,Burna Boy:Way Too Big,1,Twice As Tall,4rlaH7EbXL55bj9pvp57nP
4,2020-09-30 11:16,Tatiana Manaois,Got You Upset,0,Tatiana Manaois:Got You Upset,1,Love Diaries of an Introvert,0dO50htoJSIZQRhXfG8O2q
5,2020-09-30 11:16,Lecrae,Drown,171290,Lecrae:Drown,1,Restoration,4UwjZrF7teVvR0ry5Xz8cX
6,2020-09-30 12:27,Burna Boy,Way Too Big,200413,Burna Boy:Way Too Big,1,Twice As Tall,4rlaH7EbXL55bj9pvp57nP
7,2020-10-01 11:45,Lecrae,Drown,98064,Lecrae:Drown,1,Restoration,4UwjZrF7teVvR0ry5Xz8cX
8,2020-10-01 11:51,Burna Boy,Bank On It,285699,Burna Boy:Bank On It,0,,
9,2020-10-01 11:53,Burna Boy,Alarm Clock,132627,Burna Boy:Alarm Clock,0,,
10,2020-10-01 22:11,Burna Boy,Way Too Big,52856,Burna Boy:Way Too Big,1,Twice As Tall,4rlaH7EbXL55bj9pvp57nP
11,2020-10-01 22:16,Burna Boy,Bank On It,276537,Burna Boy:Bank On It,0,,
12,2020-10-03 09:19,Burna Boy,Bank On It,276537,Burna Boy:Bank On It,0,,
13,2020-10-03 09:24,Fever Ray,When I Grow Up,271280,Fever Ray:When I Grow Up,0,,
14,2020-10-03 12:53,Björk,Hunter,195289,Björk:Hunter,0,,
15,2020-10-03 22:26,Lecrae,Saturday Night,125186,Lecrae:Saturday Night,0,,
16,2020-10-03 22:31,Brendan Flynn,Yellow Rose,352784,Brendan Flynn:Yellow Rose,0,,
17,2020-10-03 22:37,Steve Jablonsky,Arrival to Earth,326773,Steve Jablonsky:Arrival to Earth,0,,
18,2020-10-03 22:38,Dave Porter,Breaking Bad Main Title Theme (Extended),75667,Dave Porter:Breaking Bad Main Title Theme (Extended),0,,
19,2020-10-03 22:45,Ludovico Einaudi,I Giorni - Live,374028,Ludovico Einaudi:I Giorni - Live,0,,
20,2020-10-03 22:47,Jeff Beal,House Of Cards Main Title Theme,109853,Jeff Beal:House Of Cards Main Title Theme,0,,
21,2020-10-03 22:50,John Williams,Battle of the Heroes,222600,John Williams:Battle of the Heroes,0,,
22,2020-10-03 22:52,Ramin Djawadi,"Game Of Thrones - From The ""Game Of Thrones"" Soundtrack",7497,"Ramin Djawadi:Game Of Thrones - From The ""Game Of Thrones"" Soundtrack",0,,
23,2020-10-03 22:59,Howard Shore,"The Breaking of the Fellowship (feat. ""In Dreams"")",427879,"Howard Shore:The Breaking of the Fellowship (feat. ""In Dreams"")",0,,
24,2020-10-03 23:03,Howard Shore,"The Council of Elrond (feat. ""Aniron"") [Theme for Aragorn and Arwen]",229107,"Howard Shore:The Council of Elrond (feat. ""Aniron"") [Theme for Aragorn and Arwen]",0,,
